Transaction_ID,Customer_Name,Customer_Age,Store_Location,Store_Type,Product_Category,Product_Name,Quantity,Purchase_Amount,Discount_Applied,Payment_Method,Purchase_Date,Customer_Satisfaction_Rating,Return_Status
46685257-bdd6-40fb-8667-1ad11c80317f,Charles Garcia,26,New Roberttown,Rural,Stationery,Better,2,222.55,0%,Credit Card,16-08-2024,2,No
06cb0fb3-9a1d-4644-815e-f6d13b8faa18,Michelle Miles,56,Robinsonshire,Rural,Groceries,Fall,2,246.01,10%,Debit Card,24-09-2023,1,Returned
ce4a2bbd-c241-430b-81a9-e71fde8a774b,Jay Ramirez,,Port Matthew,Suburban,Clothing,Best,0,2987.4,none,Cash,26-12-2024,6,Yes
580d7b71-d8f5-4413-9be6-128e18c26797,Renee Blair,,South Christianport,Urban,Home Decor,Themselves,1,600.83,15%,Debit Card,28-01-2024,,Y
5c941cf0-dc98-42c1-a2ac-f72f9e574f7a,Michele Williams,,Port Keith,Rural,Groceries,Base,0,486.12,0%,Credit Card,08-08-2024,0,Not Returned
614ff3d7-19db-4ad0-9dd1-dfb23b982ef8,Mark Diaz,,Michaelview,Suburban,Home Decor,Science,0,3888.03,5%,UPI,31-01-2025,4,No
9bf00273-1247-4f57-a5e5-a5abaefcfad8,Kimberly Sanchez,59,Grayside,Rural,Groceries,Discuss,,1126.58,0%,Debit Card,04-04-2025,,Not Returned
c6a7ee39-c4b0-42cc-97c5-24a55304317f,Rodney Trujillo,53,Adamsborough,Rural,Clothing,White,,2365.08,0%,Credit Card,20-09-2024,3,Not Returned
366eb16f-508e-4ad7-b7c9-3acfe059a0ee,Jennifer Rocha,,Thomasberg,Urban,Home Decor,Employee,3,4044.72,15%,Wallet,21-06-2024,1,Yes
bf3c4c06-4343-48bc-89fa-6a688fb5d27b,Stephanie Ross,,East William,Rural,Stationery,Benefit,2,800.07,10%,Wallet,06-11-2024,6,Not Returned
27209bdf-1c11-4735-9c71-3d960c0fd195,Rebecca Henderson,23,South Patrickmouth,Urban,Groceries,Newspaper,5,1873.78,10%,Cash,15-11-2024,0,N
f143262f-dc5c-4eed-8da0-365bf89897b9,Nathan Maldonado,,Kaylamouth,Rural,Electronics,Brother,4,3022.4,15%,Credit Card,20-10-2023,0,Returned
00d4af59-7427-4ca3-a87d-06ca6f4cc69a,Sherri Baker,45,New Rita,Suburban,Electronics,Truth,1,3866.13,0%,UPI,21-11-2023,5,Y
81f631d4-a392-41a7-9777-a4774c66e0a8,Brittany Farmer,37,New Mariotown,Urban,Clothing,Brother,0,2587.64,5%,Cash,05-08-2024,3,Not Returned
d4e80839-fc3e-458b-a0f3-eab05cec4eb5,Cynthia Allen,,North Jessicaland,Urban,Electronics,Soon,1,3034.83,15%,Cash,29-03-2025,1,Yes
a8e56e0c-20de-435d-a031-d750c40db9b4,Joshua Baker,52,Brandtside,Urban,Home Decor,Someone,0,519.7,15%,Debit Card,25-05-2024,2,Yes
4fcca39a-b683-42e6-b37e-a2dfb09b2a5c,Michael Brooks,62,Martinezbury,Rural,Clothing,Attack,0,4825.38,20%,Wallet,25-10-2024,0,Not Returned
3ae8cc93-8dcd-4d03-969b-666205628059,Adrienne Zimmerman,33,East Carloston,Urban,Clothing,Trade,4,2246.69,20%,Credit Card,26-12-2023,,Yes
474a493b-3ced-4f2d-839f-bc501223b513,Cindy Anderson,58,Sanchezfort,Urban,Electronics,Surface,1,2983.36,5%,Credit Card,20-12-2023,4,Not Returned
a8b317fa-18d0-452b-9825-bc5430beb45f,Jeff Owens,31,Lake Deniseville,Rural,Stationery,Ask,,2619.36,0%,Debit Card,18-02-2024,2,N
dc96925e-ccf3-4171-96dc-8907ba6c34ab,Corey Herrera,,South Isaiah,Suburban,Home Decor,Maintain,1,4056.74,10%,Wallet,14-02-2024,6,Yes
71710434-134c-4c92-ac5b-227cdfde4fbf,Savannah Garcia,,North Sarabury,Urban,Groceries,Compare,1,3399.49,0,Cash,19-10-2023,1,Yes
dd59ba71-36b8-4481-bb3a-4e3e7c52fa17,Anthony Gray,33,Bakermouth,Suburban,Stationery,Feeling,3,786.89,10%,Credit Card,17-02-2024,6,N
fed4057d-bb02-4576-b512-c4c3b253d218,Mary Tucker,,West Jeff,Suburban,Home Decor,Article,0,4848.08,none,Cash,01-03-2024,1,No
bf7b539b-0f9a-4a4b-8acd-4e10bc594585,Anthony Woods,,North Susan,Suburban,Stationery,Be,4,906.72,5%,Wallet,30-06-2024,1,Y
1165e210-9854-4881-918a-9d292f923996,Cynthia Wilson,52,New Brooke,Rural,Clothing,President,5,1166.73,5%,Credit Card,28-01-2025,5,Not Returned
90b2b633-956b-4c0c-a849-9b926b5252e3,Taylor Harris,21,Johnfurt,Urban,Electronics,Catch,5,2563.97,none,Debit Card,10-06-2023,6,No
50f0fd0a-750c-4b75-8ccc-9bc2a53f8a28,Taylor Smith,56,North Amandahaven,Rural,Electronics,Evidence,2,2078.5,20%,Wallet,10-09-2024,4,Returned
119c4ea3-e180-4081-9958-a499eeea163e,Jaclyn Moore,38,Cherylhaven,Suburban,Home Decor,Across,,4680.06,10%,Cash,19-07-2023,,Not Returned
ee87905e-4ca4-45ea-8dfa-6a56d12dbc9a,Teresa Taylor,47,North Juliaberg,Urban,Stationery,Expert,1,2340.4,none,Cash,07-09-2024,5,Yes
57c700aa-b7b5-4ea7-b5eb-d32d9ad620ab,Mark Baker,36,Kington,Suburban,Stationery,Best,2,4672.97,5%,UPI,12-11-2023,3,Y
0b49452d-46d4-43f3-9450-281c6c6f7633,Ray Walsh,24,Evanmouth,Suburban,Electronics,Ok,3,3372.53,20%,Credit Card,12-08-2024,1,Not Returned
1ca3c448-0279-46a6-8f97-97b06d7ce3c9,Stephen Mckee,39,Port Mikeside,Rural,Clothing,Choose,2,1434.51,20%,Debit Card,07-10-2024,3,Not Returned
5d59cd2a-4eea-44e7-8ab5-4bde20a04502,Rebecca Valencia,20,Jasonbury,Suburban,Groceries,Reflect,0,552.26,15%,UPI,06-03-2024,1,Y
e256a6dc-8f54-46b7-87b5-b2bc5a8aaeca,Valerie Brady,25,Port Francisco,Rural,Groceries,Such,5,2803.23,15%,Debit Card,26-06-2023,6,Yes
0658663a-698c-406f-a1a4-7e102d534dd0,Tim Patton,,Phambury,Suburban,Electronics,Example,4,2954.3,10%,UPI,27-12-2024,,No
61ee411a-1bac-47a7-b386-f7a4c991603f,Shannon Walker,44,Baileybury,Urban,Groceries,Dog,0,3367.97,0%,Cash,09-08-2023,4,Returned
5408f9ac-6601-4dd0-b170-f437a8f7ef5a,Benjamin Ayala,60,Darlenefurt,Suburban,Groceries,Respond,0,978.87,0%,Credit Card,26-04-2023,1,N
0710d430-f071-4879-94c6-3cd889456f27,Wesley White,,Benjaminchester,Urban,Groceries,Hair,2,4307.11,10%,Credit Card,22-01-2025,1,N
9b3080d5-6fb7-4271-904d-281fc9535b63,Mrs. Stephanie Lee,,Lake Ryanhaven,Rural,Stationery,Wish,1,1708.48,none,UPI,24-10-2024,0,Y
f0b5156b-b82c-4074-afd5-dea589d7fd6c,Megan Diaz,34,Lake Samanthamouth,Urban,Stationery,Record,2,4397.49,0%,Wallet,24-12-2024,2,Returned
4ce1eb90-e669-4833-b841-d0a01fe771d6,Mary Nguyen,54,Angelaborough,Suburban,Electronics,Kitchen,1,2238.33,20%,Wallet,25-01-2025,,N
bf85bf0e-ad64-456c-a10f-aa3ff0bbac67,Lisa Turner,,West Justinchester,Rural,Electronics,Stock,,1884.69,5%,UPI,05-09-2024,4,Y
77097749-527e-4cfa-a79a-c9aa9b4e2c24,Michael Dixon,26,Lake Christopher,Suburban,Home Decor,Myself,3,1698.3,0,Cash,01-07-2024,0,Returned
17e8392a-55ce-45db-9e87-e04ca2086977,Nicole Chambers,36,Port James,Suburban,Stationery,Ago,1,2089.77,none,Debit Card,04-09-2024,5,Y
9c7c7377-79a2-4903-bbe3-3b243eae0032,Angel Perry,48,Lake Heather,Rural,Electronics,Miss,2,2264.75,0,UPI,13-05-2023,6,Returned
b00805cc-a7f3-4ae9-a5c7-3c443e75c3b4,Paul Carrillo,37,Port Ronaldburgh,Urban,Groceries,Summer,2,557.6,none,Credit Card,12-02-2024,,Not Returned
8eb22579-0cdb-4ca4-b6ec-bdd68498e113,Ryan Bryant,44,Contrerasside,Rural,Home Decor,Physical,1,3095.24,none,Wallet,29-09-2024,6,N
714c7df4-e434-4d51-8158-1092f335cba3,Michelle Wagner,45,Merrittfort,Urban,Stationery,Listen,0,3314.68,5%,Wallet,10-12-2023,3,Yes
a33dc7af-d701-410d-bf4b-1a70c074718e,Richard Washington,,West Scott,Suburban,Stationery,Sell,4,4595.6,5%,Debit Card,26-10-2023,4,No
51d87c64-55fa-4ab8-858f-1f193c07c574,Angela Hernandez,,Bensonborough,Urban,Clothing,Attack,0,4496.32,0,Debit Card,15-11-2023,6,N
7746d0ba-8ae8-405b-94b4-a48268586eba,Daniel Fisher,,Port Nicoleshire,Suburban,Clothing,Husband,,1445.53,5%,Debit Card,24-02-2024,4,Y
4c71e0fe-5a0c-4d7c-b157-8470018267c4,Sarah Ashley,31,Medinaside,Suburban,Home Decor,Such,2,1233.18,0,UPI,12-04-2024,3,Not Returned
382c043f-7cfc-4b79-b875-394ce5d6f6e6,John Price,55,Ramseymouth,Rural,Home Decor,Wide,4,405.1,none,Wallet,19-07-2024,0,N
06e745f9-88bc-439c-9f4c-3b79fb10987f,Leslie Alvarado,52,Lake Roymouth,Suburban,Groceries,Court,0,1563.2,15%,UPI,16-07-2023,,N
362f5e5c-53cd-4268-a10c-f37342999aa4,George Hobbs,64,Karenchester,Suburban,Groceries,Entire,,2005.4,0,Debit Card,17-05-2023,1,N
bfc00dc8-04f6-4d86-b866-076514f7ce8d,Zoe Bell,,Port Susanton,Urban,Home Decor,Somebody,1,3000.27,0,Cash,15-01-2025,0,Yes
d6d7b3b8-3309-4d35-bf4d-f561f319c125,Christian Martinez,,New Staciemouth,Suburban,Clothing,Scene,3,1704.03,15%,Credit Card,02-05-2023,0,Y
9b1bc895-2af4-4ab7-9e6f-ea07c4536f1d,Nicole Wilson,22,West Daniel,Urban,Groceries,Agree,2,4999.55,0%,Cash,24-10-2023,1,Not Returned
e87466d7-ad66-41bd-9367-6a024fdc6e1b,Jennifer Espinoza,54,New Hannahbury,Suburban,Clothing,Blue,,1268.87,15%,UPI,29-03-2025,3,Yes
af2b99b4-d9ac-4158-8d34-85c5c5c14eb4,Barbara Riggs,55,West Amandastad,Suburban,Stationery,Authority,3,3911.18,10%,Wallet,30-09-2024,2,Yes
